iter	Passed	Remaining
0	48	48445
1	49	24561
2	49	16460
3	49	12408
4	50	9977
5	50	8356
6	50	7199
7	51	6330
8	51	5654
9	51	5114
10	51	4672
11	52	4303
12	52	3991
13	52	3724
14	53	3492
15	53	3289
16	53	3111
17	54	2951
18	69	3597
19	72	3562
20	75	3506
21	75	3358
22	77	3290
23	78	3187
24	79	3095
25	80	3017
26	81	2946
27	82	2855
28	83	2810
29	84	2742
30	85	2680
31	86	2602
32	88	2599
33	89	2529
34	91	2526
35	91	2461
36	93	2441
37	94	2381
38	94	2335
39	95	2298
40	96	2246
41	96	2197
42	96	2151
43	96	2106
44	97	2064
45	97	2023
46	97	1984
47	98	1946
48	98	1910
49	98	1876
50	99	1843
51	99	1811
52	99	1780
53	99	1750
54	100	1722
55	100	1695
56	100	1668
57	101	1642
58	101	1617
59	101	1593
60	102	1571
61	102	1548
62	102	1526
63	102	1505
64	103	1485
65	103	1465
66	103	1446
67	104	1427
68	104	1409
69	104	1391
70	128	1681
71	129	1667
72	129	1646
73	130	1626
74	130	1607
75	130	1587
76	130	1569
77	131	1550
78	131	1532
79	131	1515
80	132	1498
81	132	1481
82	132	1463
83	132	1448
84	133	1432
85	133	1417
86	133	1402
87	133	1388
88	134	1374
89	134	1360
90	134	1347
91	135	1333
92	135	1320
93	135	1308
94	136	1295
95	136	1283
96	136	1271
97	160	1476
98	160	1463
99	161	1450
100	161	1437
101	161	1425
102	162	1412
103	162	1400
104	162	1388
105	163	1378
106	163	1366
107	164	1355
108	164	1344
109	164	1333
110	165	1322
111	165	1311
112	165	1301
113	166	1290
114	166	1280
115	166	1269
116	166	1259
117	167	1248
118	167	1238
119	167	1229
120	167	1219
121	168	1209
122	168	1200
123	168	1191
124	168	1182
125	169	1173
126	169	1164
127	169	1155
128	169	1147
129	170	1138
130	170	1130
131	170	1122
132	170	1114
133	171	1106
134	171	1098
135	171	1090
136	171	1083
137	172	1075
138	172	1068
139	172	1061
140	172	1053
141	173	1046
142	173	1039
143	173	1032
144	173	1025
145	174	1019
146	174	1012
147	174	1005
148	174	999
149	175	993
150	175	986
151	175	980
152	176	974
153	176	968
154	176	962
155	176	956
156	177	951
157	177	945
158	177	939
159	177	934
160	178	928
161	178	922
162	178	917
163	178	911
164	179	906
165	179	901
166	179	895
167	179	890
168	180	885
169	180	880
170	180	875
171	180	871
172	181	866
173	181	861
174	181	856
175	182	852
176	182	847
177	182	843
178	182	838
179	183	834
180	183	830
181	183	825
182	184	821
183	184	817
184	184	813
185	184	808
186	185	804
187	185	800
188	185	796
189	185	792
190	186	788
191	186	784
192	186	780
193	186	776
194	187	772
195	187	768
196	187	764
197	187	761
198	188	757
199	188	753
200	188	750
201	188	746
202	189	742
203	189	739
204	189	735
205	190	732
206	190	728
207	190	725
208	190	722
209	191	718
210	191	715
211	191	711
212	191	708
213	192	705
214	192	702
215	192	698
216	193	698
217	193	695
218	194	692
219	194	689
220	194	686
221	194	683
222	195	680
223	195	677
224	195	674
225	196	671
226	196	668
227	196	665
228	196	662
229	197	659
230	197	656
231	197	654
232	197	651
233	198	649
234	198	646
235	198	643
236	199	640
237	199	638
238	199	635
239	199	632
240	200	630
241	200	627
242	200	624
243	200	622
244	201	619
245	201	617
246	201	614
247	201	612
248	202	609
249	202	607
250	202	605
251	203	602
252	203	600
253	203	597
254	203	595
255	204	593
256	204	591
257	204	589
258	205	586
259	205	584
260	205	582
261	205	580
